Habilidade,Status,Competência,Nível,Descrição,,1-Nível,Descrição
Construção de ETL com SAS,Contínuo,3-Intermediário,3,"Na maioria das vezes, você consegue trabalhar de forma independente em novos desafios. Você conhece suas habilidades o suficiente para ser autocrítico e conhece a diferença entre um bom trabalho e um ótimo trabalho. Você também adquiriu experiência no estabelecimento dos seus próprios objetivos para medir o seu progresso.",,1-Iniciante,"Você trabalha melhor em um ambiente estruturado com supervisão, processos predeterminados e critérios definidos para avaliação de resultados"
Construção de ETL com Qlikview,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,2-Apto,"Você consegue resolver problemas básicos e realizar tarefas de forma independente, mas diante de um problema complexo é preciso ajuda"
JIRA,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,3-Intermediário,"Na maioria das vezes, você consegue trabalhar de forma independente em novos desafios. Você conhece suas habilidades o suficiente para ser autocrítico e conhece a diferença entre um bom trabalho e um ótimo trabalho. Você também adquiriu experiência no estabelecimento dos seus próprios objetivos para medir o seu progresso."
Confluence,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,4-Competente,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho."
Bitbucket,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,5-Experiente,"Você consegue trabalhar sozinho(a), ou seja, tem autonomia. Consegue liderar uma iniciativa até o fim com pouca ou nenhuma supervisão. Consegue planejar o processo que vai utilizar, aplicar o plano traçado e avaliar a eficácia, analisando alternativas e possíveis resultados. É provável que você seja uma pessoa conceituada na sua área de atuação, procurada por outras pessoas para dar opiniões ou oferecer soluções para ideias, situações ou problemas."
GIT,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,6-Avançado,Você trabalha bem com independência em projetos muito complexos. Você já aplicou seu ponto de vista singular na solução de problemas complexos e inova para estimular o progresso do seu campo de atuação. É provável que você comunique bem os problemas e suas possíveis soluções e que consiga liderar equipes de profissionais.
CI/CD,Contínuo,2-Apto,2,"Você consegue resolver problemas básicos e realizar tarefas de forma independente, mas diante de um problema complexo é preciso ajuda",,7-Diferenciado,"Você provavelmente lidera equipes com sucesso quando elas trabalham em grandes iniciativas que ampliam os limites da sua área. E você ainda é capaz de fazer de tudo, independentemente de ser ainda um profissional atuante ou de passar a maior parte do tempo liderando outras pessoas. Sua opinião é respeitada pelas pessoas da sua área."
SQL SERVER,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,8-Mestre,Você é completamente autônomo e é considerado um líder e estudioso na sua área. Você escolhe seus projetos e provavelmente seleciona aqueles que permitirão criar impacto significativo na área e oferecer novas ideias ou práticas.
Análise de dados ,Contínuo,3-Intermediário,3,"Na maioria das vezes, você consegue trabalhar de forma independente em novos desafios. Você conhece suas habilidades o suficiente para ser autocrítico e conhece a diferença entre um bom trabalho e um ótimo trabalho. Você também adquiriu experiência no estabelecimento dos seus próprios objetivos para medir o seu progresso.",,,
Data Quality,Contínuo,3-Intermediário,3,"Na maioria das vezes, você consegue trabalhar de forma independente em novos desafios. Você conhece suas habilidades o suficiente para ser autocrítico e conhece a diferença entre um bom trabalho e um ótimo trabalho. Você também adquiriu experiência no estabelecimento dos seus próprios objetivos para medir o seu progresso.",,,
Data Lake ,Contínuo,2-Apto,2,"Você consegue resolver problemas básicos e realizar tarefas de forma independente, mas diante de um problema complexo é preciso ajuda",,,
Data Warehouse,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,,
Documentação,Contínuo,4-Competente,4,"Você consegue trabalhar com independência em projetos complexos. Com os projetos concluídos, você consegue analisar o seu trabalho e avaliar com precisão se tiveram sucesso. Embora não haja necessidade de supervisão, você valoriza as opiniões e os feedbacks externos sobre o seu trabalho.",,,
Python,Foco,2-Apto,2,"Você consegue resolver problemas básicos e realizar tarefas de forma independente, mas diante de um problema complexo é preciso ajuda",,,
AWS,Foco,1-Iniciante,1,"Você trabalha melhor em um ambiente estruturado com supervisão, processos predeterminados e critérios definidos para avaliação de resultados",,,
Azure,Foco,1-Iniciante,1,"Você trabalha melhor em um ambiente estruturado com supervisão, processos predeterminados e critérios definidos para avaliação de resultados",,,
Databricks,Foco,1-Iniciante,1,"Você trabalha melhor em um ambiente estruturado com supervisão, processos predeterminados e critérios definidos para avaliação de resultados",,,